"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1501","S","A2113829","Row/Townhouse","New Brighton","03/22/2024","$449,900.00","$450,000.00","1,434","130 New Brighton Way SE Unit#354","Calgary","2012","10","Peter Skolaude","CSKOLAPE","","Arinze Ezeo","CEZEONAR","","CAL Zone SE"
"1501","S","A2113519","Row/Townhouse","McKenzie Lake","03/28/2024","$429,900.00","$450,000.00","1,308","325 Mt Douglas Manor SE","Calgary","1997","10","Ankit Dhingra","CDHINGAN","","Katrina Serquina","CSERQUKA","","CAL Zone SE"
"1501","S","A2113330","Row/Townhouse","Redstone","03/22/2024","$434,990.00","$450,000.00","1,315","301 Redstone Boulevard NE Unit#431","Calgary","2023","14","Prabhjot Singh","CSINGHPR5","","Rajeev Gopinath","CGOPINRA","","CAL Zone NE"
"1501","S","A2113165","Row/Townhouse","New Brighton","03/20/2024","$449,900.00","$450,000.00","1,224","51 New Brighton Common SE","Calgary","2008","12","John Slade","CSLADEJO","","Lisa Wood","CWOODLI2","","CAL Zone SE"
"1501","S","A2113065","Row/Townhouse","McKenzie Towne","03/16/2024","$435,000.00","$450,000.00","1,396","226 Mckenzie Towne Link SE","Calgary","2003","9","Hee Su Kim","CKIMHE1","","Chi Wang Leung","CLEUNGCH2","","CAL Zone SE"
"1501","S","A2112041","Row/Townhouse","Kincora","03/21/2024","$479,999.00","$450,000.00","1,236","47 Kinlea Common NW","Calgary","2013","16","Bright Ewhubare","CEWHUBBR","","Bright Ewhubare","CEWHUBBR","","CAL Zone N"
"1501","S","A2109945","Row/Townhouse","Tuscany","03/09/2024","$450,000.00","$450,000.00","1,101","67 Tuscany Court NW","Calgary","2004","13","Jasvinder Gill","CGILLJA4","","Cassius Caron","CCARONCA","","CAL Zone NW"
"1501","S","A2109644","Row/Townhouse","Nolan Hill","03/02/2024","$439,900.00","$450,000.00","1,197","45 Nolancrest Gate NW","Calgary","2015","9","Danny James","CJAMESDA","CKONCH","Judit Sheikh","CSHEIKJU","","CAL Zone N"
"1501","S","A2108639","Semi Detached (Half Duplex)","Abbeydale","03/01/2024","$440,000.00","$450,000.00","1,261","369 Abergale Drive NE","Calgary","1979","11","Leigh Kormos","CKORMOLE","","Ryan Sexton","CSEXTORY","","CAL Zone NE"
"1501","S","A2108097","Row/Townhouse","Panorama Hills","03/08/2024","$459,000.00","$450,000.00","1,265","402 Panatella Walk NW","Calgary","2014","22","Varun Dhingra","CDHINGVA","","Jay Schultz","CSCHULJA","","CAL Zone N"
"1501","S","A2107255","Apartment","Beltline","03/22/2024","$449,900.00","$450,000.00","876","215 13 Avenue SW Unit#1801","Calgary","2009","29","Jaycee Wang","CWANGYI","","Ruth Alexander","CALEXAMA","","CAL Zone CC"
"1501","S","A2106758","Apartment","Palliser","03/09/2024","$435,900.00","$450,000.00","1,060","2121 98 Avenue SW Unit#309","Calgary","2004","18","Miranda Moser","CMOSERMI","","Christian Twomey","CTWOMECH","","CAL Zone S"
"1501","S","A2103568","Row/Townhouse","Copperfield","03/05/2024","$450,000.00","$450,000.00","1,607","313 Copperpond Landing SE","Calgary","2013","19","Mathew Said Morley","CMORLEMA","","Jun Hu","CHUJU","","CAL Zone SE"
"1501","S","A2100810","Apartment","Beltline","03/03/2024","$455,000.00","$450,000.00","917","1111 10 Street SW Unit#601","Calgary","2012","45","Ben Pinckney","CPINCKBE","CHELWEJO","Ryan Schumacher","CSCHUMRY","CHAVREJU","CAL Zone CC"
"1501","S","A2087641","Row/Townhouse","Sage Hill","03/19/2024","$475,000.00","$450,000.00","1,290","UNIT #205 SAGE HILL CIR Drive NW","Calgary","2025","156","Zawar Cheema","CCHEEMZA","","Zawar Cheema","CCHEEMZA","","CAL Zone N"
"1501","S","A2113666","Row/Townhouse","New Brighton","03/27/2024","$449,900.00","$449,900.00","1,473","264 New Brighton Walk SE","Calgary","2015","16","John Slade","CSLADEJO","","Derek Thibeault","CTHIBEDE","","CAL Zone SE"
"1501","S","A2113361","Apartment","Auburn Bay","03/19/2024","$449,900.00","$449,900.00","919","100 Auburn Meadows Common SE Unit#412","Calgary","2018","11","Mitch Thompson","CTHOMPMI1","","Sandra Patterson","CPATTESA","CHEBERCA","CAL Zone SE"
"1501","S","A2109838","Semi Detached (Half Duplex)","Penbrooke Meadows","03/09/2024","$439,900.00","$449,500.00","810","5609 8 Avenue SE","Calgary","1971","15","Chris Richter","CRICHTCH","CPILONJE","Gurvinder Gill","CGILLGU8","","CAL Zone E"
"1501","S","A2112803","Apartment","Chinatown","03/23/2024","$455,000.00","$449,100.00","859","222 Riverfront Avenue SW Unit#237","Calgary","2010","16","Kiyan Sunderji","CSUNDEKI","CSUNDEKA","Alicia Ryan","CRYANAL","","CAL Zone CC"
