"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1001","S","A2091699","Apartment","Ranchlands","01/16/2024","$309,900.00","$312,000.00","833","6315 Ranchview Drive NW Unit#111","Calgary","2009","70","Gordon McArthur","CMCARTGO","CLINDTI","Aimee Surmanowicz","CGLENNAI","","CAL Zone NW"
"1001","S","A2100186","Apartment","Skyview Ranch","01/28/2024","$311,900.00","$311,000.00","887","181 Skyview Ranch Manor NE Unit#1308","Calgary","2017","21","Anni Jansson","CJANSSAN","","Gustavo Vaz","CVAZGU","","CAL Zone NE"
"1001","S","A2101888","Apartment","Sage Hill","01/31/2024","$309,999.00","$310,000.00","642","298 Sage Meadows Park NW Unit#2305","Calgary","2019","13","Ryan Wilson","CWILSORY","","Chris Ford","CFORDCH","","CAL Zone N"
"1001","S","A2101868","Row/Townhouse","Falconridge","01/27/2024","$310,000.00","$310,000.00","1,005","1155 Falconridge Drive NE Unit#63","Calgary","1979","11","Erik Thorson","CTHORSER","","Justin Quinsona","CQUINSJU","","CAL Zone NE"
"1001","S","A2100304","Apartment","Skyview Ranch","01/12/2024","$310,000.00","$310,000.00","939","240 Skyview Ranch Road NE Unit#1407","Calgary","2015","1","Benjamin Sweet","CSWEETBE","CQUIRITR","Vanessa Terado","CTERADVA","","CAL Zone NE"
"1001","S","A2098399","Apartment","McKenzie Towne","01/08/2024","$309,900.00","$310,000.00","886","48 Inverness Gate SE Unit#1316","Calgary","2007","19","Ernest Gardy","CGARDYER","","Timothy Polanik","CPOLANTI","","CAL Zone SE"
"1001","S","A2097999","Apartment","Cranston","01/11/2024","$329,000.00","$310,000.00","942","30 Cranfield Link SE Unit#214","Calgary","2006","27","Jesse Sklar","CSKLARJE1","","Alison Marshall","CMARSHAL","","CAL Zone SE"
"1001","S","A2097924","Apartment","Copperfield","01/17/2024","$325,000.00","$310,000.00","801","99 Copperstone Park SE Unit#3313","Calgary","2017","34","Sam Patel","CPATELSA2","CKUMARAJ2","Rolisa Rosero-Mencedor","CROSERRO","","CAL Zone SE"
"1001","S","A2097518","Apartment","Downtown West End","01/20/2024","$315,000.00","$310,000.00","674","1111 6 Avenue SW Unit#918","Calgary","2000","38","James Read","CREADJA1","","Fei Ye","CYEFEI","","CAL Zone CC"
"1001","S","A2096923","Apartment","Skyview Ranch","01/12/2024","$311,900.00","$310,000.00","893","181 Skyview Ranch Manor NE Unit#1310","Calgary","2017","35","Anni Jansson","CJANSSAN","","Raddy Bhasin","CBHASIRA","","CAL Zone NE"
"1001","S","A2096076","Apartment","Downtown West End","01/26/2024","$299,900.00","$310,000.00","866","683 10 Street SW Unit#602","Calgary","2001","13","James Zhan","CZHANJA","","James Zhan","CZHANJA","","CAL Zone CC"
"1001","S","A2101024","Apartment","Sunalta","01/22/2024","$310,000.00","$308,000.00","742","1540 17 Avenue SW Unit#310","Calgary","2000","11","Adam Fyfe","CFYFEAD","","Sheraz Anwar","CANWARSH1","","CAL Zone CC"
"1001","S","A2098894","Row/Townhouse","Sage Hill","01/24/2024","$300,000.00","$308,000.00","795","250 Sage Valley Road NW Unit#507","Calgary","2014","16","Mak Afewu","CAFEWUMA","CKOSTME1","Matthew Mai","CMAIXU","","CAL Zone N"
"1001","S","A2092836","Apartment","Beltline","01/03/2024","$299,900.00","$308,000.00","967","924 14 Avenue SW Unit#1110","Calgary","1981","33","John McNeill","CMCNEIJO","","Jessica Hamilton","CHAMILJE","","CAL Zone CC"
"1001","S","A2100820","Apartment","Beltline","01/25/2024","$309,900.00","$307,700.00","688","788 12 Avenue SW Unit#1305","Calgary","2009","15","Jenny Mayhew","CMAYHEJE","","Kris Paul","CPAULKR1","","CAL Zone CC"
"1001","S","A2083081","Apartment","Mission","01/05/2024","$338,900.00","$307,500.00","1,208","133 25 Avenue SW Unit#7D","Calgary","1976","97","Richard Bergeron","CBERGERI","CBERGEEL","Stephanie Begin","CBEGINST","","CAL Zone CC"
